Movie,System,Link
2012 (film),Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/2012 (film).webm
2012 (film),GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/2012 (film).webm
2012 (film),TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/2012 (film).webm
2012 (film),SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/2012 (film).webm
Arbitrage,Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/Arbitrage.webm
Arbitrage,GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/Arbitrage.webm
Arbitrage,TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/Arbitrage.webm
Arbitrage,SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/Arbitrage.webm
Black Swan (film),Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/Black Swan (film).webm
Black Swan (film),GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/Black Swan (film).webm
Black Swan (film),TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/Black Swan (film).webm
Black Swan (film),SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/Black Swan (film).webm
Juno (film),Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/Juno (film).webm
Juno (film),GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/Juno (film).webm
Juno (film),TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/Juno (film).webm
Juno (film),SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/Juno (film).webm
No Strings Attached (film),Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/No Strings Attached (film).webm
No Strings Attached (film),GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/No Strings Attached (film).webm
No Strings Attached (film),TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/No Strings Attached (film).webm
No Strings Attached (film),SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/No Strings Attached (film).webm
Oblivion (2013 film),Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/Oblivion (2013 film).webm
Oblivion (2013 film),GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/Oblivion (2013 film).webm
Oblivion (2013 film),TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/Oblivion (2013 film).webm
Oblivion (2013 film),SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/Oblivion (2013 film).webm
Panic Room,Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/Panic Room.webm
Panic Room,GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/Panic Room.webm
Panic Room,TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/Panic Room.webm
Panic Room,SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/Panic Room.webm
Slumdog Millionaire,Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/Slumdog Millionaire.webm
Slumdog Millionaire,GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/Slumdog Millionaire.webm
Slumdog Millionaire,TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/Slumdog Millionaire.webm
Slumdog Millionaire,SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/Slumdog Millionaire.webm
The Back-up Plan,Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/The Back-up Plan.webm
The Back-up Plan,GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/The Back-up Plan.webm
The Back-up Plan,TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/The Back-up Plan.webm
The Back-up Plan,SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/The Back-up Plan.webm
The Shining (film),Gold,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/Gold/The Shining (film).webm
The Shining (film),GraphTP_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/GraphTP_w_multimodal/The Shining (film).webm
The Shining (film),TAM_w_multimodal,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/TAM_w_multimodal/The Shining (film).webm
The Shining (film),SceneSum,https://s3.eu-west-2.amazonaws.com/tripodsamplesummaries/latest_summaries/SceneSum/The Shining (film).webm
